start_day_inclusive,end_day_inclusive,device_category,platform_category,browser_platform,browser_major_version,sign_up_method,total_starts,total_completions,completion_rate_pct,google_vs_email_gap,confidence_level,version_category
2025-05-26,2025-06-22,Desktop,Windows,Chrome Windows,109,google,4,3,75.0,,Very Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,Windows,Firefox Windows,139,email,37,24,64.86,-4.109999999999999,Medium Confidence,Other Version
2025-05-26,2025-06-22,Desktop,Windows,Firefox Windows,139,google,58,40,68.97,,High Confidence,Other Version
2025-05-26,2025-06-22,Desktop,Windows,Firefox Windows,138,email,13,8,61.54,-0.9600000000000009,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,Windows,Firefox Windows,138,google,16,10,62.5,,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,Windows,Firefox Windows,137,email,5,4,80.0,,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,137,email,239,165,69.04,6.160000000000004,High Confidence,Current Chrome
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,137,google,326,205,62.88,,High Confidence,Current Chrome
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,136,email,191,144,75.39,3.3400000000000034,High Confidence,Previous Chrome
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,136,google,229,165,72.05,,High Confidence,Previous Chrome
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,135,email,29,24,82.76,14.190000000000012,Medium Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,135,google,35,24,68.57,,Medium Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,134,email,7,5,71.43,0.0,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,134,google,7,5,71.43,,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,133,email,4,3,75.0,25.0,Very Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,133,google,6,3,50.0,,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,132,email,3,0,0.0,,Very Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,131,email,8,7,87.5,,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,128,email,8,7,87.5,-4.170000000000002,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,128,google,12,11,91.67,,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,116,email,7,5,71.43,1.4300000000000068,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Chrome macOS,116,google,10,7,70.0,,Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Safari macOS,19,email,3,3,100.0,33.33,Very Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Safari macOS,19,google,3,2,66.67,,Very Low Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Safari macOS,18,email,388,275,70.88,1.4699999999999989,High Confidence,Current Safari
2025-05-26,2025-06-22,Desktop,macOS,Safari macOS,18,google,340,236,69.41,,High Confidence,Current Safari
2025-05-26,2025-06-22,Desktop,macOS,Safari macOS,17,email,123,92,74.8,3.6700000000000017,High Confidence,Previous Safari
2025-05-26,2025-06-22,Desktop,macOS,Safari macOS,17,google,97,69,71.13,,High Confidence,Previous Safari
2025-05-26,2025-06-22,Desktop,macOS,Safari macOS,16,email,58,49,84.48,16.060000000000002,High Confidence,Other Version
2025-05-26,2025-06-22,Desktop,macOS,Safari macOS,16,google,38,26,68.42,,Medium Confidence,Other Version
2025-05-26,2025-06-22,Mobile,Android,Chrome Android,137,email,50,28,56.0,18.9,High Confidence,Current Chrome
2025-05-26,2025-06-22,Mobile,Android,Chrome Android,137,google,62,23,37.1,,High Confidence,Current Chrome
2025-05-26,2025-06-22,Mobile,Android,Chrome Android,136,email,15,10,66.67,6.670000000000002,Low Confidence,Previous Chrome
2025-05-26,2025-06-22,Mobile,Android,Chrome Android,136,google,20,12,60.0,,Medium Confidence,Previous Chrome
2025-05-26,2025-06-22,Mobile,Android,Chrome Android,135,google,3,0,0.0,,Very Low Confidence,Other Version
2025-05-26,2025-06-22,Mobile,iOS,Chrome iOS,137,email,7,5,71.43,8.27000000000001,Low Confidence,Current Chrome
2025-05-26,2025-06-22,Mobile,iOS,Chrome iOS,137,google,19,12,63.16,,Low Confidence,Current Chrome
2025-05-26,2025-06-22,Mobile,iOS,Safari iOS,18,email,76,53,69.74,15.019999999999996,High Confidence,Current Safari
2025-05-26,2025-06-22,Mobile,iOS,Safari iOS,18,google,53,29,54.72,,High Confidence,Current Safari
2025-05-26,2025-06-22,Mobile,iOS,Safari iOS,17,email,3,3,100.0,16.67,Very Low Confidence,Previous Safari
2025-05-26,2025-06-22,Mobile,iOS,Safari iOS,17,google,6,5,83.33,,Low Confidence,Previous Safari
2025-05-25,2025-06-21,Desktop,Windows,Chrome Windows,137,email,221,173,78.28,10.980000000000004,High Confidence,Current Chrome
2025-05-25,2025-06-21,Desktop,Windows,Chrome Windows,137,google,318,214,67.3,,High Confidence,Current Chrome
2025-05-25,2025-06-21,Desktop,Windows,Chrome Windows,136,email,114,91,79.82,9.079999999999998,High Confidence,Previous Chrome
2025-05-25,2025-06-21,Desktop,Windows,Chrome Windows,136,google,188,133,70.74,,High Confidence,Previous Chrome
2025-05-25,2025-06-21,Desktop,Windows,Chrome Windows,133,google,3,1,33.33,,Very Low Confidence,Other Version
2025-05-25,2025-06-21,Desktop,Windows,Chrome Windows,109,email,3,3,100.0,25.0,Very Low Confidence,Other Version
2025-05-25,2025-06-21,Desktop,Windows,Chrome Windows,109,google,4,3,75.0,,Very Low Confidence,Other Version
2025-05-25,2025-06-21,Desktop,Windows,Firefox Windows,139,email,34,21,61.76,-6.100000000000001,Medium Confidence,Other Version
2025-05-25,2025-06-21,Desktop,Windows,Firefox Windows,139,google,56,38,67.86,,High Confidence,Other Version
2025-05-25,2025-06-21,Desktop,Windows,Firefox Windows,138,email,18,12,66.67,1.6700000000000017,Low Confidence,Other Version
2025-05-25,2025-06-21,Desktop,Windows,Firefox Windows,138,google,20,13,65.0,,Medium Confidence,Other Version
